Issue Type,Summary,Description,Priority,Status,Epic Name,Epic Link,Labels,Labels,Labels
Epic,Socle conversationnel multi-tenant,"Le cerveau du produit : router l'appel vers le bon établissement, comprendre la demande, appeler les outils métier et persister la réservation.",High,To Do,Socle conversationnel multi-tenant,,,,
Epic,Voix temps réel Moshi (Kyutai),Remplacer la boucle Gather/Say par un pipeline audio en streaming avec la voix Moshi 1.6B servie par moshi-server (Rust) sur GPU serverless.,High,To Do,Voix temps réel Moshi (Kyutai),,,,
Epic,Latence et naturalité de la conversation,"Tout ce qui sépare une démo d'un vrai standard : le blanc avant la réponse, la coupure de parole, la fin de tour, le raccroché.",High,To Do,Latence et naturalité de la conversation,,,,
Epic,Plateforme d'administration,"L'interface où le restaurateur gère son établissement et où le super-admin surveille le parc, la santé et les coûts.",High,To Do,Plateforme d'administration,,,,
Epic,Mise en production et hébergement,"Sortir du poste local + ngrok : domaine, HTTPS, VPS qui survit au reboot, sauvegardes et supervision.",High,To Do,Mise en production et hébergement,,,,
Epic,"Qualité, tests et intégration continue","Filet de sécurité : tests sans réseau, CI sur chaque push, non-régression.",High,To Do,"Qualité, tests et intégration continue",,,,
Epic,Montée en charge et coûts GPU,"Servir plusieurs appels simultanés sans multiplier les GPU, et plafonner la facture. Le GPU est le seul vrai poste de coût variable.",High,To Do,Montée en charge et coûts GPU,,,,
Epic,Sécurité et conformité,"Rotation des secrets, protection de l'admin, obligations RGPD sur les données d'appelants.",High,To Do,Sécurité et conformité,,,,
Epic,Offre commerciale et mise sur le marché,"Passer d'un produit qui marche à un produit qu'on vend : prix, page de vente, démo, premier client pilote.",High,To Do,Offre commerciale et mise sur le marché,,,,
Epic,Couche SaaS en libre-service,"Ce qui permet d'onboarder un client sans intervention manuelle : facturation, numéro en un clic, notifications.",High,To Do,Couche SaaS en libre-service,,,,
Story,Router l'appel vers le bon établissement par le numéro appelé,"Le champ Twilio `To` identifie l'établissement en base (tenants.get_by_phone). Le tenant de démo est réaligné automatiquement sur TWILIO_NUMBER au démarrage, ce qui évite le « ce numéro n'est pas encore configuré » quand un mauvais numéro s'était figé dans le volume Docker.",High,Done,,Socle conversationnel multi-tenant,backend,multi-tenant,
Story,Outils métier check_availability et create_reservation,"Function calling : le modèle vérifie la disponibilité avant de confirmer, puis enregistre la réservation. Seul l'appel à create_reservation crée la ligne — le dire à l'oral ne réserve rien.",High,Done,,Socle conversationnel multi-tenant,backend,llm,
Story,Base de connaissances par établissement injectée dans le prompt,"Menu, horaires, adresse, FAQ. À cette échelle un RAG vectoriel n'apporte rien : la fiche tient dans le prompt système (cf. ARCHITECTURE.md).",Medium,Done,,Socle conversationnel multi-tenant,llm,,
Story,"Persistance des réservations en SQLite, rattachées au tenant","Tables tenants et reservations. Migrations successives : numéro de l'appelant (v3), latence mesurée (v4), voix par établissement (v5).",High,Done,,Socle conversationnel multi-tenant,backend,bdd,
Story,Webhooks Twilio voix et SMS,"POST /twilio/voice, /twilio/sms et un routeur générique /twilio/webhook qui dispatche selon CallSid ou Body.",High,Done,,Socle conversationnel multi-tenant,twilio,,
Task,Mode gather de repli avec voix neuronale française,"Polly.Lea-Neural via <Say>. Zéro latence, zéro clé, inclus dans Twilio. Sert de repli si le pipeline streaming est indisponible.",Low,Done,,Socle conversationnel multi-tenant,twilio,tts,
Bug,Accueil personnalisé écrasé au redémarrage par le seed de démo,Le seed du tenant de démo réécrasait le message d'accueil personnalisé à chaque démarrage du conteneur.,Medium,Done,,Socle conversationnel multi-tenant,bug,backend,
Story,Pipeline streaming Twilio Media Streams + Pipecat,"WebSocket audio bidirectionnel, orchestration Pipecat avec étages STT/LLM/TTS interchangeables (VOICE_MODE=stream). Le module llm.py est réutilisé tel quel : seul le transport audio change.",Highest,Done,,Voix temps réel Moshi (Kyutai),voix,pipecat,
Task,"Évaluer Pocket TTS sur CPU puis sur GPU, et l'abandonner","Sur CPU, french_24l met 5 à 10 s à produire son premier morceau : voix saccadée. Le GPU rend la génération temps réel mais impose une machine dédiée. Piste abandonnée au profit du serveur Rust moshi-server.",Low,Done,,Voix temps réel Moshi (Kyutai),voix,abandonné,
Story,Déployer moshi-server (Rust) sur Modal en GPU serverless,"moshi-server 0.6.4, image CUDA 12.8, GPU L4, CUDA graphs et batching, scale-to-zero. Sert la vraie voix d'unmute.sh, au moins en temps réel à chaud.",Highest,Done,,Voix temps réel Moshi (Kyutai),voix,modal,gpu
Bug,Build CUDA sans GPU : figer CUDA_COMPUTE_CAP au moment du build,"Les kernels se compilent à la construction de l'image, où aucun GPU n'est disponible : la capacité de calcul doit être fournie explicitement.",High,Done,,Voix temps réel Moshi (Kyutai),bug,modal,
Bug,Édition de liens libpython pour le module tts_py (pyo3),tts_py se lie à la libpython. Il faut LIBRARY_PATH au build et LD_LIBRARY_PATH sur le LIBDIR Python au démarrage.,High,Done,,Voix temps réel Moshi (Kyutai),bug,modal,
Bug,Erreur 429 de Hugging Face au téléchargement des voix,"Le glob par défaut télécharge tout le dépôt de voix. Restreint au dossier unmute-prod-website, puis catalogue curaté embarqué dans l'image.",Medium,Done,,Voix temps réel Moshi (Kyutai),bug,modal,
Story,Client TTS Pipecat pour moshi-server,"api/app/voice/moshi_server_tts.py : websocket msgpack, un message Text par mot puis Eos, réception de PCM float32 à 24 kHz. open_timeout élevé pour tolérer le cold start au handshake.",High,Done,,Voix temps réel Moshi (Kyutai),voix,pipecat,
Task,"Script de fumée du serveur TTS, sans Twilio","scripts/test_moshi_server.py : mesure audio_sec / wall, écrit un WAV 24 kHz. Sert aussi à réveiller le serveur avant un appel.",Medium,Done,,Voix temps réel Moshi (Kyutai),outillage,voix,
Story,"Kyutai STT en option, sur le même serveur moshi-server","Module ASR stt-1b-en_fr servi par le même process (/api/asr-streaming). Français natif, un fournisseur externe de moins, environ 1,5 ¢ de moins par appel. Bascule par une seule variable : STT_PROVIDER=deepgram|kyutai.",Medium,Done,,Voix temps réel Moshi (Kyutai),stt,voix,
Task,Confirmer Kyutai STT à l'oreille sur un vrai appel avant d'en faire le défaut,"Validé hors ligne : transcription française parfaite, flush de fin de tour 300 à 430 ms, session qui survit à 90 s de silence. Reste à confirmer sur du µ-law 8 kHz réel. Repli immédiat : STT_PROVIDER=deepgram.",Medium,To Do,,Voix temps réel Moshi (Kyutai),stt,voix,
Story,"Catalogue fermé de 7 voix françaises, choisies par établissement","La liste est fermée volontairement : moshi-server ne refuse PAS une voix inconnue, il la remplace en silence par sa voix de repli (256 Hz mesurés contre 131 à 242 Hz pour le catalogue). Sans garde-fou, tous les appels sonneraient faux sans un seul log.",Medium,Done,,Voix temps réel Moshi (Kyutai),voix,admin,
Story,"Audit de latence chiffré, avant et après","Mesures instrumentées : -45 % sur le TTS, -79 % sur le premier tour.",High,Done,,Latence et naturalité de la conversation,latence,,
Story,Accueil pré-enregistré et préchauffage du serveur TTS,"Au décroché, un WAV déjà rendu en voix Développeuse est joué immédiatement pendant qu'un ping réveille moshi-server : l'appelant n'entend jamais le cold start. Musique d'attente en secours si la première réponse tarde.",High,Done,,Latence et naturalité de la conversation,latence,ux,
Story,Préchauffage du LLM pendant l'accueil,"Premier tour mesuré à 4,5 s contre 0,5 s ensuite : connexion HTTPS froide et prompt non préchauffé côté fournisseur. Un jeton envoyé pendant l'accueil ramène le premier vrai tour au régime nominal, pour environ 0,02 centime.",Medium,Done,,Latence et naturalité de la conversation,latence,llm,
Bug,PANNE DE PRODUCTION : tous les appels muets (reasoning en argument nu),Le paramètre reasoning passé en mot-clé nu levait un TypeError dans le SDK OpenAI et rendait TOUS les appels muets. La forme correcte est extra_body. Régression introduite par le correctif de latence précédent.,Highest,Done,,Latence et naturalité de la conversation,bug,production,llm
Bug,Blanc de 6 s avant chaque appel d'outil (raisonnement Gemini),"Gemini 2.5 « réfléchit » avant de répondre : au téléphone c'est du silence pur. Mesuré 6,16 s contre 0,59 s une fois coupé (LLM_REASONING=off), sans aucune perte sur l'extraction date/heure/nom. L'appelant, lui, disait « allô ».",Highest,Done,,Latence et naturalité de la conversation,bug,latence,llm
Bug,Coupures de parole déclenchées par le bruit ambiant,Pipecat ouvrait un tour sur VAD OU transcription : un souffle tranchait la phrase et rien ne repartait. Corrigé par INTERRUPTION=mots.,High,Done,,Latence et naturalité de la conversation,bug,latence,vad
Bug,Relance incongrue après un au revoir,"Après une prise de congé, le silence de l'appelant est normal : il a terminé. La relance d'inactivité repartait au pire moment. L'assistante raccroche désormais.",Medium,Done,,Latence et naturalité de la conversation,bug,ux,
Story,"Mesurer le blanc ressenti par l'appelant, tour par tour, en base","Les journaux de conteneur repartent de zéro à chaque déploiement : la mesure est stockée en base (migration v4). Résultat figé : blanc médian 1,16 s, p90 1,58 s.",High,Done,,Latence et naturalité de la conversation,latence,observabilite,
Task,Figer les réglages de naturalité validés à l'oreille,"DEEPGRAM_MODEL=nova-3 (noms propres), VAD_STOP_SECS=0.5, INTERRUPTION=mots, LLM_REASONING=off. Tous surchargeables par variable d'environnement, sans redéploiement.",Medium,Done,,Latence et naturalité de la conversation,latence,config,
Story,Épingler le GPU Modal en région EU,Chaque mot d'un énoncé fait un aller-retour websocket : un GPU aux États-Unis depuis une app en France ajoutait environ 150 ms par échange. MODAL_REGION=eu par défaut.,High,Done,,Latence et naturalité de la conversation,latence,modal,
